command,mean,stddev,median,user,system,min,max,parameter
./target/release/rust_matrix 100 100,0.001528869543488369,0.00021577741953058367,0.0014869388399999994,0.0013108819476744195,0.0007416822499999995,0.0013549648399999994,0.00340190084,100
./target/release/rust_matrix 200 200,0.009392310377878785,0.00023629326130187326,0.00933656034,0.00872529303030303,0.0007847317045454544,0.00889059484,0.010298447839999999,200
./target/release/rust_matrix 300 300,0.03175913614434782,0.00058687257161503,0.03190793134,0.03072064760869565,0.001119462989130435,0.03014382184,0.03294335584,300
./target/release/rust_matrix 400 400,0.07766177859675676,0.0007852706723081531,0.07768438984,0.07660257445945946,0.0011113905405405408,0.07492059784,0.07999539184,400
./target/release/rust_matrix 500 500,0.1551518166821053,0.0018519603378707836,0.15493568384,0.15219711499999997,0.00286126,0.15061381484,0.16008135484,500
./target/release/rust_matrix 600 600,0.2731938489309091,0.004164497434630943,0.27321249584,0.2700868422727272,0.0028814509090909087,0.26355652884,0.27959538584000004,600
./target/release/rust_matrix 700 700,0.44379277204,0.004503959686747075,0.44460515934,0.439884315,0.0034829204999999993,0.43487199684000005,0.44936306384,700
./target/release/rust_matrix 800 800,0.6812927091400001,0.015836389558903638,0.6806884958400001,0.675448515,0.005168496,0.6633661718400001,0.7182134268400001,800
./target/release/rust_matrix 900 900,1.0251196177400002,0.012345000613894597,1.02291167634,1.018601815,0.0054585449999999995,1.0101392278399999,1.0511978738399999,900
./target/release/rust_matrix 1000 1000,1.55221514854,0.02841562180165827,1.54395970434,1.5441778149999998,0.006454144999999999,1.5206519948400001,1.61622419384,1000
